,Phase,Schritt,Unterschritt = Titel,Text,Tags ,Verlinkung zu anderen Texten (Listen Titel),weitere Hinweise -> evtl. noch einarbeiten in Text,Ideen / Fragen,Inhalt fertig ,geprüft,Hochgeladen in Tool,
1,Konzeptionsphase,Art und Weise des Projekts,Generelle Überlegungen,"Mit der Idee oder dem Plan, ein Pfadiheim zu bauen oder um zu bauen startet die Bedürfnisabfrage. 

Besprecht diesen Fragekatalog ausführlich in einer breit abgestützen Gruppe:
- Welche Bedürfnisse wollen wir mit dem Heim erfüllen? 
- Welche Zielgruppen sprechen wir an damit?
- Wird das Heim extern vermietet oder ist es ein reines Abteilungsheim?
- Welche Räume benötigt die Abteilung, welche Räumlichkeiten werden von Privaten, Lagern (Unterschied Jugendvereine/Schulen) oder Ausbildungskurse benötigt?
- Soll das Heim auch für PTA nutzbar sein? Komplett barrierefrei oder teilweise?

Wichtig ist, dies als Sammlung zu betrachten. In einem nächsten Schritt sind diese Bedürfnisse einzuordnen und zu priorisieren. Gewisse Aspekte müssen von Anfang an mitgeplant werden, gewisse Punkte können auch erst  zu einem späteren Zeitpunkt definitiv entschieden werden.","Zielgruppe, Zweck, Bedürfnisse Abteilung/Stufen","2, 3, 4, 6, 7, 10, 11, 22, 23, 24, 32, 40, 44",,"Darstellung: Entscheidungsmatrix, was wenn wir ein Haus für die Abteilung haben möchten und gleichzeitig Kurshaus --> Folgen / Idee Raumaufteilung // evtl. in Abhängigkeit zu Preis / Finanzen (Finanzplanung grob)",Ri,ja,,
2,Konzeptionsphase,Art und Weise des Projekts,Übernachtungen,"Sollen Übernachtungen im Heim möglich sein? Wenn ja, wie soll übernachtet werden (Massenschlag, kleinere Zimmer, nur für eigene Abteilung, auch für Schulen etc.). Sobald in einem Heim Übernachtungsmöglichkeiten angeboten werden hat dies u.a. Auswirkungen auf die sanitären Anlagen, die Konzeption der Küche und auch im Bereich Brandschutz. Denkt auch daran, dass nach Geschlechtern getrennte Schlafräume zur Verfügung stehen sollen. 

Tipps: 
- notiert alle für euch möglichen Übernachtungsversionen 
- notiert zu jeder Version nötige Anpassungen (Räume, Aufteilung, Toiletten, Duschen, Küche, Essplätze, etc.)
- wählt die wahrscheinlichste(n) Möglichkeiten aus und gebt einer Planer*in den Auftrag, mal eine erste Skizze zu entwerfen","Zielgruppe, Zweck, Vermietungseinnahmen, Übernachtungen","1, 6, 7, 9, 22, 23, 25, 32, 33, 43, 46",,sollten mehr Konsequenzen aufgezeigt werden? Im Stil eines dichtomen Schlüssels? Oder reicht die aktuelle Darstellung?  ,Ri,,,
3,Konzeptionsphase,Art und Weise des Projekts,Art der Erneuerung,"Es bestehen verschiedene Möglichkeiten für die Erneuerung: Neubau, Umbau eines bestehenden Heims, Umnutzung einer bestehenden Immobilie. Bei einem Neubau muss mit höheren Kosten auf einmal gerechnet werden, bei Umbauten können verschiedene Etappen angegangen werden. Da das Bauland beschränkt ist und eine Umnutzung viel weniger Ressourcen benötigt, empfehlen wir, offen auf Ideen mit bestehenden Immobilien zuzugehen.

Folgende Fragen können eine Diskussionsgrundlage geben:
- Welche Optionen sind für eure Abteilung möglich und sinnvoll?
- Was ist mit den Wünschen aus den generellen Überlegungen vereinbar, was nicht?
- Gibt es leer stehende Immobilien im Ort, die allenfalls genutzt werden könnten?
- Welche Möglichkeiten bestehen überhaupt am aktuellen Standort?","Bedürfnisse, Umbau, Alternativen, ","2, 4, 6, 7, 9, 10, 22, 24, 32, 33, 35, ",,"Generelle Überlegungen - sollten danach hierher leiten. Zukunft wird Umbau/Ummnutzung sein: warum? Wenn es gute Gründe gibt: unbedingt listen/erwähnen.
Graue Energie bei Abbruch - ev. Artikel oder so verlinken?",Ri,,,
4,Konzeptionsphase,"Bauliche, ortbedingte Rahmenbedingungen",Standort und Abklärungen,"Viele Pfadiheime stehen heute ausserhalb der Bauzone. Neubauten sind hier praktisch unmöglich, Um- und allenfalls Ersatzneubauten (u.U. mit dem heutigen Fussabdruck) ist eher realisierbar. Im Grundsatz gehören Pfadiheime in eine Zone für öffentliche Bauten, welche die Gemeinde ausscheiden kann/muss. Es ist zentral, dass ihr mit euren Ideen frühzeitig auf die Gemeinde zugeht und abklärt, was überhaupt möglich ist. Damit die Anfrage auch zu einem handfesten Resultat führt, solltet ihr einige Informationen davor zusammentragen. Vieles findet ihr online in den kantonalen GIS-Plänen (Geoinformationssysteme), durch Rückfrage bei allfälligen Vorbesitzenden oder dem Archiv der Bauverwaltung eurer Gemeinde. Hilfreich ist dazu die Zusammenarbeit mit einem*r Planer*in. 

Sucht in jedem Fall folgende Unterlagen zusammen, bevor ihr weitere Abklärungen tätigt:
- Zone im Zonenplan Gemeinde/Kanton
- Erschliessung (Wasser, Abwasser, Strom, Zufahrt)
- Grenzabstände Wald, Gewässer, (Natur)Schutzgebiete
- Erstellungs- oder Umbaubewilligung des bisherigen Heims, allenfalls aktuelle Baubewilligungen 

Download: Dokument Ri über das Vorgehen","Umbau, Neubau, Möglichkeiten, Abklärungen, Ort, Parzelle, Bestand, Zonenreglement, Ausserhalb der Bauzone","1, 5, 17, 28, 32, 40",Zusammenstellung verlinken als Download,,Ri,ja,,
5,Planungsphase,,Baubewilligung einholen,"Bei Neubauten ist in jedem Fall eine Baubewilligung nötig. Je nach Standort erhaltet ihr diese durch die Gemeine und/oder den Kanton. Bei Umbauten ist eine detaillierte Abklärung mit der Gemeinde sinnvoll. In der Schweiz kann davon ausgegangen werden, dass praktisch jeder bauliche Eingriff baugesuchspflichtig ist. Dies vor allem, wenn sich das Pfadiheim ausserhalb der Bauzone, z.B. in der Landwirtschaftszone befindet. Baugesuchspflichtig ist in jedem Fall die Veränderung von Nasszellen, neue Nutzungen für Übernachtungen, Vergrösserungen etc., weil dadurch der Wasserverbrauch und der Anfall von Abwasser verändert wird und auch die Art der Erreichbarkeit, der Anzahl Zufahrten und ähnliches. Ein Ersatz der Fenster kann oft im Meldeverfahren geschehen, nicht aber, wenn ihr z.B. zusätzliche Dachfenster einbauen möchtet. Was ein Meldeverfahren genau bedeutet (Fristen, Planunterlagen usw.) ist in der kantonalen Bauverordnung geregelt.","Neubauten, teils Umbauten, Standort, Bauzonen, Baubewilligung, Meldeverfahren, Verfahren","1, 3, 4, 11, 13, 17, 18, 19, 28, 40, 46",,,,,,
6,Konzeptionsphase,Art und Weise des Projekts,Nutzung als Kursheim,"Eine zeitgemässe Zielgruppe sind Kurse. Das Raumangebot soll dabei folgende Elemente enthalten, damit es für diese Nutzung sinnvoll ist:
Checkliste Elemente für Kursdurchführung
- Schlafräume Teilnehmende
- Schlafräume fürs Leitungsteam und das Küchenteam
- Aufenthaltsräume und Gruppenräume (ggf. flexibel unterteilbar, freie Wand für Präsentationen)
- Sanitäre Anlagen
- Materialraum / Garderobe
Überdachte Vorplätze sind für Kurssequenzen auch nutzbar, Tische und Bänke sind dann auch hilfreich. Überlegt euch auch, ob allenfalls Gruppenräume der Stufen für Kurse vermietbar sind und so ""doppelt"" genutzt werden könnten. Die Raumaufteilung und Raumerschliessung soll für die möglichen Nutzungsgruppen passen, für euch als Abteilung und für die externe Nutzung.","Haustyp, Kursheim, Pfadiheim, Mieteinnahmen, Raumbedarf","1, 2, 3, 7, 9, 22, 23, 24, 40",,Sind die detaillierten Zimmerangaben nicht eher in der Planung statt Konzeption?,Ri,,,
7,Konzeptionsphase,Art und Weise des Projekts,Barrierefreiheit,"Barrierefreiheit / PTA-Tauglichkeit klären: soll es minimal nutzbar sein für Gruppen mit bewegungseingeschränkten Personen oder solchen im Rollstuhl (Z.B. nur Eingang, Essraum/Toiletten)? Oder ist eine komplette Barrierefreiheit gewünscht: Zugänglich sind dann auch Schlafräume, Leitendenzimmer, Küche, Duschen, mind. Teile der Aussenräume etc.). Wichtig ist z.B. die Frage: Sind barrierefreie Schlafräume und sanitäre Anlagen so angelegt, dass die Nutzer*innen integriert sind in das restliche Abteilungsgeschehen oder eher abgesondert (z.B. nur im unteren Stock, separate Zimmer,…), können/sollen Personen im Rollstuhl auch in der Küche mitwirken oder sogar selber kochen und die Aussenräume mitnutzen? Wie ist da die Zugänglichkeit z.B. zum Matraum, zur Feuerstelle? Gibt es Wiesen oder auch befestigte Flächen, welche mit Rollstühlen genutzt werden können?
Generell gelten die Normen SIA 500 „Hindernisfreie Bauten“ und die VSS 640 075 „Fussgängerverkehr – Hindernisfreier Verkehrsraum“, welche von Behinderten- und Baufachorganisationen definierten Regeln der Baukunde sind. Bei frühzeitiger Berücksichtigung sind die Mehrkosten unerheblich und können durch geschicktes Planen optimiert werden. Sinnvoll sind auch Abklärung bei lokalen Baubehörden bezüglich zwingenden Vorschriften oder auch Erfahrungen und Wünschen der Gemeinde.

Hilfreiche Links für die Gestaltung:
Hindernisfreie Architektur unter https://hindernisfreie-architektur.ch/wp-content/uploads/2017/05/Vortrag_2013_Hotel_Hindernisfrei_nach_SIA500.pdf
Hinweise zu barrierefreiem Bauen unter https://www.procap.ch/angebote/beratung-information/bauen-und-verkehr/bauen-fuer-alle
ProCap hat auch diverse regionale Fachstellen Hindernisfreies Bauen, welche kontaktiert werden können.
 
Hinweise für die (zusätzliche) Finanzierung von Massnahmen:
- PTA-Fonds der PBS
- Stiftung zur Förderung des behindertengerechten Bauens (Teil von ProCap)
- Ehemalige Pfadi Schweiz","Umbauten, Neubau, Integration, Raumaufteilung","1, 2, 3, 9, 10, 13, 20, 22, 24, 32, 33, 40","Barrierefreiheit siehe https://hindernisfreie-architektur.ch/wp-content/uploads/2017/05/Vortrag_2013_Hotel_Hindernisfrei_nach_SIA500.pdf
Hinweise zu barrierefreiem Bauen unter www.procap.ch","Strübi: Gilt es allenfalls Vorschriften zu beachten (öffentliche Nutzung). Bei Baubehörde nachfragen (Beispiel Zeltplatz Duschengebäude Alpe di Pazz)
Hinweis auf PBS-Kässeli, pro cap & Denk an mich!",Ri,,,
8,Konzeptionsphase,Struktur und Organisation,Meilensteine,"Setzt euch für die verschiedenen Phasen erste grobe Meilensteine und baut daraus einen ersten Zeitplan mit termingebundenen Meilensteinen auf. Dies kann noch ohne eine spezifische Organisation innerhalb der Abteilung sein. Danach ist die Gründung eines Projektteams zwingend. 
Um eine solche Planung zu erstellen, gibt es einfache Projektmanagementtools. Wichtig ist, diese Planung aktuell zu halten und auch auf Veränderungen eingehen zu können. Gerade Bewilligungsprozesse sind meist schwierig präzise zu planen. So ist es hilfreich, wenn von einander unabhängige Bereiche zur selben Zeit Abklärungen tätigen, Themen erarbeiten usw.","Zeitplan, Meilenstein, Termin","3, 13, 16, 21, 36, 37, 38",,,Ri,ja,,
9,Konzeptionsphase,Art und Weise des Projekts,Referenzprojekte,"Nehmt Kontakt auf mit Abteilungen, welche bereits ein neues Heim gebaut oder eines umgebaut haben. ihr findet so viele gute Ideen und Inspiration für euer Projekt. Viele ehemalige Projektteams teilen ihre Erfahrungen sehr gern und es ist hilfreich, von ihren Erfahrungen zu profitieren. Fragt bei eurem Kantonalverband nach, wo neue Heime sind, sie können euch die Kontakte vermitteln.

Die Stiftung Pfadiheime Schweiz kann für die Vermittlung von Kontakten und auch fachlicher Unterstützung jederzeit angefragt werden: info@stiftung-pfadiheime.ch","Referenzen, Projekte, Inspiration, Informationen sammeln","1, 2, 3, 6, 7, 13, 14, 15, 22, 23, 24, 25, 32, 43, 44, 45","Um eine Richtung einzuschlagen, gibt es hier Inspirationen mit Referenzbprojekten der letzten 10 Jahren: 
Liste mit Bauprojekten der vergangenen 5 Jahren:
- Pfadiheim Uri (Neubau)
- aktuell
http://www.pfadi-stein.ch/neubau/ 
- Wittenbach (SG)
- Rapperswil-Jona, General Dufour (SG)
- Eschenbach (SG)
- Pfadiheim Humlikon (ZH) (renoviert)
Auch unsere Stiftung als Vermittlerin angeben? Wir könnten kontakte zu überregionalen Projekten knüpfen, falls in der Nähre ine Referenzprojekt vorhanden wäre.","Links zu den Abteilungen ev. grad daruf, nach Rücksprache, im zweiten Schritt. Sinnvoll wäre auch eine Liste, wo Neu- resp. Umbauten stattgefunden haben.

Frage einer direkten Mailadresse zu einer Person: wer im Stiftungsrat würde sich dem annehmen?",Ri,ja,,
10,über alle Phasen,"Bauliche, ortbedingte Rahmenbedingungen",Ökologie am Bau,"Ökologische Aspekte sind über den gesamten Bauablauf zu betrachten. Diese Auseinandersetzung mit den unterschiedlichsten Themen wie Erreichbarkeit, Bauweise, Nutzung, Wärmegewinnung, verwendete Materialien ist zentral. Ihr entscheidet, wieviel Ökologie und Umweltfreundlichkeit ihr ""einbauen"" möchtet und wo ihr andere Schwerpunkte setzt.
Bereits die Auswahl des Standortes ermöglicht mehr oder wenige nachhaltige Bau- und Nutzungsweisen (Zufahrten, Leitungsbauten, Erreichbarkeit zu Fuss und öV etc.). Überlegt euch, wie ihr die Nutzung und Zufahrten in Zukunft seht und wie die Kinder für den Pfadibetrieb zum Heim kommen. Auch wenn ihr das Heim vermieten möchtet: macht der aktuelle Standort Sinn aus Sicht Erreichbarkeit mit dem öV? Gibt es Verbesserungspotential? Könnte die Gemeinde eine Veränderung anstreben?

Die grössten Hebel für zukunftfähiges Bauen findet ihr beispielsweise unter countdown2030.ch/hebel/ ","Materialwahl, Mobiliar","3, 9, 17, 29, 44, 46",,"Dieser Punkt sollte in der Planungsphase nochmals aufgeriffen werden.

Gibt es hier allenfalls Hilfsmittel mit guten TIpps?",Ri,ja,,
